title,cast,director,overview,runtime,userRating
Love Potion No. 9,Sandra Bullock|Tate Donovan|Anne Bancroft|Blake Clark|Rebecca Staab,Dale Launer,Unlucky in love chemist Paul Matthews visits gypsy Madame Rosa for help. Quickly realizing he is a hopeless nerd she gifts him with Love Potion No. 8 which makes anyone who wears it irresistible to the opposite sex for four hours. Paul and animal psychologist coworker Diane Farrow decide to test it on themselves. The awkward pair suddenly find themselves alluring to anyone they approach but soon realize they are most attracted to each other.,97,5.4
Enter the Void,Nathaniel Brown|Paz de la Huerta|Cyril Roy|Masato Tanno|Jesse Kuhn,Gaspar NoÌÄå©,This psychedelic tour of life after death is seen entirely from the point of view of Oscar (Nathaniel Brown) a young American drug dealer and addict living in Tokyo with his prostitute sister Linda (Paz de la Huerta). When Oscar is killed by police during a bust gone bad his spirit journeys from the past -- where he sees his parents before their deaths -- to the present -- where he witnesses his own autopsy -- and then to the future where he looks out for his sister from beyond the grave.,161,7.1
Another Gay Movie,Michael Carbonaro|Jonah Blechman|Jonathan Chase|Mitch Morris|Ashlie Atkinson,Todd Stephens,In the dirtiest funniest most scandalous gay-teen-sex-comedy-parody ever four young gay friends make a pact to lose their virginity by the end of the summer. The boys soon face giant sex toys naked celebrities masochistic teachers and an uncontrollable romance with a quiche.,92,5.1
Life During Wartime,Ally Sheedy|Paul Reubens|Shirley Henderson|Allison Janney|Michael Kenneth Williams,Todd Solondz,"Life During Wartime is a film by Todd Solondz. It is a sequel to his 1998 film Happiness even though the characters are all played by different actors. It stars Allison Janney Shirley Henderson and CiarÌÄåÁn Hinds among others. The official synopsis of the film is: ""Friends family and lovers struggle to find love forgiveness and meaning in a war-torn world riddled with comedy and pathos"". Solondz said Life During Wartime was ""a little more politically overt"" than previous works."" It won the Golden Osella award for best screenplay at the 66th Venice Film Festival.",97,5.1
Party Monster,Seth Green|Macaulay Culkin|ChloÌÄåÇ Sevigny|Diana Scarwid|Marilyn Manson,Fenton Bailey|Randy Barbato,The New York club scene of the 80s and 90s was a world like no other. Into this candy-colored mirror ball playground stepped Michael Alig a wannabe from nowhere special. Under the watchful eye of veteran club kid James St. James Alig quickly rose to the top... and there was no place to go but down.,98,5.6
Blitz,Jason Statham|Paddy Considine|Aidan Gillen|Zawe Ashton|Luke Evans,Elliott Lester,A tough cop is dispatched to take down a serial killer who has been targeting police officers.,97,6
Charlotte Gray,Cate Blanchett|James Fleet|Abigail Cruttenden|Charlotte McDougall|Rupert Penry-Jones,Gillian Armstrong,This is a drama set in Nazi-occupied France at the height of World War II. Charlotte Gray tells the compelling story of a young Scottish woman working with the French Resistance in the hope of rescuing her lover a missing RAF pilot. Based on the best-selling novel by Sebastian Faulks.,121,5.4
Once I Was a Beehive,Paris Warner|Lisa Clark|Hailey Smith|Clare Niederpruem|Barta Heiner,Maclain Nelson,Comedy - Lane Speer is a 16 year old girl who spends her family vacations camping in the mountains. She takes the memories for granted until she loses her father to an unexpected bout with cancer. Only a year later as Lane is still reeling from her father's death he mother remarries a guy that Lane hardly knows. Worst of all he is a Mormon. To top it off while they are on their honeymoon they arrange to have her stay with her Mormon step-aunt who takes her away to a bible-themed girls camp with a bunch of young Mormon girls. Confronted with memories of camping with her family she tries to find peace with her new surroundings and deal with the death of her father. -  Paris Warner Lisa Clark Hailey Smith,119,6.5
The Stone Roses: Made of Stone,Ian Brown|Gary 'Mani' Mounfield|John Squire|Alan Wren|Shane Meadows,Shane Meadows,A documentary about the English alternative rock band The Stone Roses. Meadows interweaves archive film intimate behind-the-scenes footage and never-before-seen material delivering the definitive account of the band and their music. He was also granted unprecedented access to their rehearsals for the summer 2012 Manchester concerts. A momentous occasion in modern music these were the first gigs performed by The Stone Roses in 16 years.,96,6
Vampire's Kiss,Nicolas Cage|MarÌÄå_a Conchita Alonso|Jennifer Beals|Elizabeth Ashley|Kasi Lemmons,Robert Bierman,A publishing executive is visited and bitten by a vampire and starts exhibiting erratic behavior. He pushes his secretary to extremes as he tries to come to terms with his affliction. The vampire continues to visit and drink his blood and as his madness deepens it begins to look as if some of the events he's experiencing may be hallucinations.,103,5.5
Joshua,Sam Rockwell|Vera Farmiga|Jacob Kogan|Celia Weston|Dallas Roberts,George Ratliff,The arrival of a newborn girl causes the gradual disintegration of the Cairn family; particularly for 9-year-old Joshua an eccentric boy whose proper upbringing and refined tastes both take a sinister turn.,105,6.2
Kicking and Screaming,Josh Hamilton|Olivia d'Abo|Carlos Jacott|Eric Stoltz|Chris Eigeman,Noah Baumbach,After college graduation Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her deciding instead to move in with several friends all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life yet none of them wants to end up like Chet the professional student who tends bar and is in his tenth year of university studies.,96,7.1
Hannah Arendt,Barbara Sukowa|Axel Milberg|Janet McTeer|Julia Jentsch|Nicholas Woodeson,Margarethe von Trotta,Hannah Arendt is a portrait of the genius that shook the world with her discovery of Ì¢‰âÂÒthe banality of evil.Ì¢‰âÂ After she attends the Nazi Adolf EichmannÌ¢‰âÂ‰ã¢s trial in Jerusalem Arendt dares to write about the Holocaust in terms no one has ever heard before. Her work instantly provokes a furious scandal and Arendt stands strong as she is attacked by friends and foes alike. But as the German-Jewish ÌÄå©migrÌÄå© also struggles to suppress her own painful associations with the past the film exposes her beguiling blend of arrogance and vulnerability Ì¢‰âÂ‰Û revealing a soul defined and derailed by exile.,113,6.8
The Queen of Versailles,Jackie Siegel|David Siegel|Virginia Nebab,Lauren Greenfield,With the epic dimensions of a Shakespearean tragedy The Queen of Versailles follows billionaires Jackie and DavidÌ¢‰âÂ‰ã¢s rags-to-riches story to uncover the innate virtues and flaws of their American dream. We open on the triumphant construction of the biggest house in America a sprawling 90000-square-foot mansion inspired by Versailles. Since a booming time-share business built on the real-estate bubble is financing it the economic crisis brings progress to a halt and seals the fate of its owners. We witness the impact of this turn of fortune over the next two years in a riveting film fraught with delusion denial and self-effacing humor.,100,6.8
The Ballad of Jack and Rose,Daniel Day-Lewis|Camilla Belle|Catherine Keener|Ryan McDonald|Paul Dano,Rebecca Miller,Jack Slavin is an environmentalist with a heart condition who lives with his daughter Rose on an isolated island. While Jack fights against developers who wish to build in the area he also craves more contact with other people. When he invites his girlfriend Kathleen and her sons Rodney and Thaddius to move in Rose is upset. The complicated family dynamics makes things difficult for everyone in the house.,111,6.4
Human Nature,Patricia Arquette|Tim Robbins|Rhys Ifans|Miranda Otto|Rosie Perez,Michel Gondry,A philosophical burlesque Human Nature follows the ups and downs of an obsessive scientist a female naturalist and the man they discover born and raised in the wild. As scientist Nathan trains the wild man Puff in the ways of the world - starting with table manners - Nathan's lover Lila fights to preserve the man's simian past which represents a freedom enviable to most.,96,5.7
Love,Karl Glusman|Aomi Muyock|Klara Kristin|Juan Saavedra|Gaspar NoÌÄå©,Gaspar NoÌÄå©,Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the seismic effect it will have on their relationship they invite their pretty neighbor into their bed.,134,4.7
Frankie & Alice,Halle Berry|Stellan SkarsgÌÄå´rd|Phylicia RashÌãd|Chandra Wilson|Adrian Holmes,Geoffrey Sax,A drama centered on a go-go dancer with multiple personality disorder who struggles to remain her true self and begins working with a psychotherapist to uncover the mystery of the inner ghosts that haunt her.,101,5.7
Happy Accidents,Vincent D'Onofrio|Marisa Tomei|Nadia Dajani|Holland Taylor|Tovah Feldshuh,Brad Anderson,A comedy that pays tribute to the science fiction genre -- specifically the sub-genre of time travel. But here the alternate reality is contemporary New York City where past and future experiences of trust commitment and denial are cleverly put to the test. Just as Ruby is beginning to relish her first-ever healthy relationship Sam begins muttering about being a time traveler from the year 2470.,110,6.3
Salton Sea,Val Kilmer|Vincent D'Onofrio|Adam Goldberg|Luis GuzmÌÄåÁn|Doug Hutchison,D.J. Caruso,"After the murder of his beloved wife a man in search of redemption is set adrift in a world where nothing is as it seems. On his journey he befriends slacker Jimmy ""The Finn"" becomes involved in rescuing his neighbor Colette from her own demons and gets entangled in a web of deceit full of unexpected twists and turns.",103,6.8
Manderlay,Bryce Dallas Howard|Isaach De BankolÌÄå©|Danny Glover|Willem Dafoe|MichaÌÄåÇl Abiteboul,Lars von Trier,In 1933 after leaving Dogville Grace Margaret Mulligan sees a slave being punished at a cotton farm called Manderlay. Officially slavery is illegal and Grace stands up against the owners of the farm. She stays with some gangsters in Manderlay and tries to influence the situation. But when harvest time comes Grace sees the social and economic reality of Manderlay.,139,6.9
Hobo with a Shotgun,Rutger Hauer|Gregory Smith|Robb Wells|Brian Downey|Molly Dunsworth,Jason Eisener,A vigilante homeless man pulls into a new city and finds himself trapped in urban chaos a city where crime rules and where the city's crime boss reigns. Seeing an urban landscape filled with armed robbers corrupt cops abused prostitutes and even a pedophile Santa the Hobo goes about bringing justice to the city the best way he knows how - with a 20-gauge shotgun. Mayhem ensues when he tries to make things better for the future generation. Street justice will indeed prevail.,86,5.8
Forks Over Knives,Lee Fulkerson|Matthew Lederman|Alona Pulde|T. Colin Campbell|Caldwell Esselstyn Jr.,Lee Fulkerson,Examines the profound claim that most if not all of the degenerative diseases that afflict us can be controlled or even reversed by rejecting our present menu of animal-based and processed foods.,90,6.7
Feast,Balthazar Getty|Henry Rollins|Navi Rawat|Judah Friedlander|Jason Mewes,John Gulager,Patrons locked inside of a bar are forced to fight monsters.,95,5.8
Parkland,Zac Efron|Billy Bob Thornton|Ron Livingston|Tom Welling|Paul Giamatti,Peter Landesman,November 22nd 1963 was a day that changed the world forever Ì¢‰âÂ‰Û when young American President John F. Kennedy was assassinated in Dallas Texas. This film follows almost in real time a handful of individuals forced to make split-second decisions after an event that would change their lives and forever alter the worldÌ¢‰âÂ‰ã¢s landscape.,94,5.8
Inside Deep Throat,Dennis Hopper|Peter Bart|Warren Beatty|Carl Bernstein,Fenton Bailey|Randy Barbato,"In 1972 a seemingly typical shoestring budget pornographic film was made in a Florida hotel ""Deep Throat"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times even as the self appointed guardians of public morality struggled to suppress it and created for a brief moment a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film its stunning success its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. In short the combined events would redefine the popular appeal of pornography even as more cynical developments would lead it down other paths.",92,6.8
Frank,Michael Fassbender|Maggie Gyllenhaal|Domhnall Gleeson|Scoot McNairy|Hayley Derryberry,Lenny Abrahamson,A comedy about a young wannabe musician (Domhnall Gleeson) who discovers he has bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank (Michael Fassbender).,95,6.8
The Stanford Prison Experiment,Billy Crudup|Ezra Miller|Michael Angarano|Tye Sheridan|Olivia Thirlby,Kyle Patrick Alvarez,This film is based on the actual events that took place in 1971 when Stanford professor Dr. Philip Zimbardo created what became one of the most shocking and famous social experiments of all time.,122,6.8
Holy Motors,Eva Mendes|Kylie Minogue|Michel Piccoli|Edith Scob|Denis Lavant,Leos Carax,We follow 24 hours in the life of a being moving from life to life like a cold and solitary assassin moving from hit to hit. In each of these interwoven lives the being possesses an entirely distinct identity: sometimes a man sometimes a woman sometimes youthful sometimes old. By turns murderer beggar company chairman monstrous creature worker family man.,115,6.7
The Wild Bunch,Ernest Borgnine|William Holden|Robert Ryan|Edmond O'Brien|Warren Oates,Sam Peckinpah,Aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson) Bishop discovers the heist is a setup orchestrated in part by his old partner Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory Thornton trails them resulting in fierce gunfights with plenty of casualties,145,7.2
Blow Dry,Alan Rickman|Josh Hartnett|Natasha Richardson|Rachael Leigh Cook|Rachel Griffiths,Paddy Breathnach,The annual British Hairdressing Championship comes to Keighley a town where Phil and son Brian run a barbershop and Phil's ex-wife Shelly and her lover Sandra run a beauty salon.,91,5.4
Ride with the Devil,Tobey Maguire|Skeet Ulrich|Jeffrey Wright|Jewel|Jonathan Rhys Meyers,Ang Lee,Ride with the Devil follows four people who are fighting for truth and justice amidst the turmoil of the American Civil War. Director Ang Lee takes us to a no man's land on the Missouri/Kansas border where a staunch loyalist an immigrant's son a freed slave and a young widow form an unlikely friendship as they learn how to survive in an uncertain time. In a place without rules and redefine the meaning of bravery and honor.,138,6.6
Wassup Rockers,Jonathan Velasquez|Francisco Pedrasa|Milton Velasquez|Usvaldo Panameno,Larry Clark,Instead of adhering to the norms of their South Central neighborhood a group of skater boys opt to bus into Hollywood and Beverly Hills where they attract local rich girls - and plenty of trouble with the police jealous boyfriends and nervous parents.,111,5.9
Strangeland,Kevin Gage|Elizabeth PeÌÄå±a|Brett Harrelson|Robert Englund|Linda Cardellini,John Pieplow,A pierced and tattooed sadist Captain Howdy trolls the Internet for naive teens luring them to his home to torture and defile them. When Howdy kidnaps and tortures the daughter of police Detective Mike Gage he is caught. Deemed insane he is sent to an asylum but is released soon after seemingly better. However Gage knows it is only a matter of time before Howdy strikes again and he's ready to unleash his own form of retribution when the time comes.,86,4.8
Blackthorn,Sam Shepard|Magaly Solier|Eduardo Noriega|Stephen Rea|Daniel Aguirre,Mateo Gil,In Bolivia Butch Cassidy (now calling himself James Blackthorne) pines for one last sight of home an adventure that aligns him with a young robber and makes the duo a target for gangs and lawmen alike.,98,6.7
Sherrybaby,Maggie Gyllenhaal|Michelle Hurst|Sandra RodrÌÄå_guez|Danny Trejo|Brad William Henke,Laurie Collyer,After serving time in prison former drug addict Sherry Swanson returns home to reclaim her young daughter from family members who have been raising the child. Sherry's family especially her sister-in-law doubt Sherry's ability to be a good mother and Sherry finds her resolve to stay clean slowly weakening.,96,6.5
The Greatest Movie Ever Sold,Peter Berg|Paul Brennan|Ralph Nader|Brett Ratner|J.J. Abrams,Morgan Spurlock,A documentary about branding advertising and product placement that is financed and made possible by brands advertising and product placement.,90,6.4
Howl,James Franco|Jon Hamm|Mary-Louise Parker|Treat Williams|Jeff Daniels,Rob Epstein|Jeffrey Friedman,It's San Francisco in 1957 and an American masterpiece is put on trial. Howl the film recounts this dark moment using three interwoven threads: the tumultuous life events that led a young Allen Ginsberg to find his true voice as an artist society's reaction (the obscenity trial) and mind-expanding animation that echoes the startling originality of the poem itself. All three coalesce in a genre-bending hybrid that brilliantly captures a pivotal moment-the birth of a counterculture.,84,6.8
The Ledge,Patrick Wilson|Liv Tyler|Charlie Hunnam|Terrence Howard|Jaqueline Fleming,Matthew Chapman,A thriller in which a battle of philosophies between a fundamentalist Christian and an atheist escalates into a lethal battle of wills.,101,5.7
Not Fade Away,Bella Heathcote|Jack Huston|Dominique McElligott|Brad Garrett|Christopher McDonald,David Chase,Set in suburban New Jersey in the 1960s a group of friends form a rock band and try to make it big.,112,5.4
Below,Matthew Davis|Bruce Greenwood|Olivia Williams|Zach Galifianakis|Scott Foley,David Twohy,In the dark silence of the sea during World War II the submarine U.S.S. Tiger Shark prowls on what should be a routine rescue mission. But for the shell-shocked crew trapped together in the sub's narrow corridors and constricted spaces this is about to become a journey into the sensory delusions mental deceptions and runaway fear that lurk just below the surface of the ocean.,105,6
Mean Creek,Rory Culkin|Scott Mechlowicz|Trevor Morgan|Josh Peck|Ryan Kelley,Jacob Aaron Estes,Teenagers living in small-town Oregon take a boat trip for a birthday celebration. When they get an idea to play a mean trick on the town bully it suddenly goes too far. Soon they're forced to deal with the unexpected consequences of their actions.,90,7.3
We Steal Secrets: The Story of WikiLeaks,Julian Assange|Chelsea Manning|Heather Brooke|Alex Gibney|Robert Manne,Alex Gibney,Julian Assange. Bradley Manning. Collateral murder. Cablegate. WikiLeaks. These people and terms have exploded into public consciousness by fundamentally changing the way democratic societies deal with privacy secrecy and the right to information perhaps for generations to come. We Steal Secrets: The Story of WikiLeaks is an extensive examination of all things related to WikiLeaks and the larger global debate over access to information.,127,6
The Signal,Brenton Thwaites|Laurence Fishburne|Olivia Cooke|Lin Shaye|Beau Knapp,William Eubank,Three college students on a road trip across the Southwest experience a detour Ì¢‰âÂ‰ÛÏ the tracking of a computer genius who has already hacked into MIT and exposed security faults. When the trio find themselves drawn to an eerily isolated area suddenly everything goes dark. When one of the students regains consciousness he finds himself in a waking nightmare.,95,5.8
Swept Away,Madonna|Adriano Giannini|Bruce Greenwood|Elizabeth Banks|Michael Beattie,Guy Ritchie,Stranded and alone on a desert island during a cruise a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.,89,4.7
Powaqqatsi,,Godfrey Reggio,An exploration of technologically developing nations and the effect the transition to Western-style modernization has had on them.,99,7.2
To the Wonder,Ben Affleck|Olga Kurylenko|Javier Bardem|Rachel McAdams|Tatiana Chiline,Terrence Malick,After falling in love in Paris Marina and Neil come to Oklahoma where problems arise. Their church's Spanish-born pastor struggles with his faith while Neil encounters a woman from his childhood.,112,5.6
10 Items or Less,Paz Vega|Morgan Freeman|Bobby Cannavale|Anne Dudek|Jennifer Echols,Brad Silberling,An actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of Los Angeles to do some field research. He subsequently becomes stranded without a car or cell phone and accepts a ride home with Scarlet a cashier who is about to interview for a new job. The actor rediscovers the essence of his craft while helping Scarlet gain the confidence she needs to change her life.,81,6.8
Freeheld,Julianne Moore|Ellen Page|Steve Carell|Michael Shannon|Luke Grimes,Peter Sollett,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,103,7.1
I Spit on Your Grave,Sarah Butler|Daniel Franzese|Chad Lindberg|Jeff Branson|Rodney Eastman,Steven R. Monroe,A remake of the 1979 controversial cult classic I Spit on Your Grave retells the horrific tale of writer Jennifer Hills who takes a retreat from the city to a charming cabin in the woods to start on her next book. But Jennifer's presence in the small town attracts the attention of a few morally deprived locals led by Johnny the town's service station owner his two co-workers Andy and Stanley who along with their socially and mentally challenged friend Matthew set out one night to teach this city girl a lesson.,108,6.2
Les Clefs de bagnole,Laurent Baffie|Daniel Russo|Pascal Sellem|GÌÄå©rard Depardieu|Guillaume Canet,Laurent Baffie,No overview found.,90,4.8
Bottle Rocket,Luke Wilson|Owen Wilson|Lumi Cavazos|Andrew Wilson|Robert Musgrave,Wes Anderson,Upon his release from a mental hospital following a nervous breakdown the directionless Anthony joins his friend Dignan who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss the (supposedly) legendary Mr. Henry.,91,6.7
The Lazarus Project,Paul Walker|Piper Perabo|Bob Gunton|Lambert Wilson|Linda Cardellini,John Glenn|Charles Crossin|Ronaldo Nacionales|Markian Saray,A harrowing and frightening thriller about a man who has everything he's ever loved stripped away from him; and to earn his life and family back he must face obstacles of mystical origins endure countless tests of his faith struggle with his own sanity and explore the depth and the power of his soul.,100,5.9
The Final Cut,Robin Williams|Mira Sorvino|Jim Caviezel|Mimi Kuzyk|Genevieve Buechner,Omar Naim,Set in a world with memory implants Robin Williams plays a cutter someone with the power of final edit over people's recorded histories. His latest assignment is one that puts him in danger.,95,5.4
Being Flynn,Robert De Niro|Julianne Moore|Paul Dano|Olivia Thirlby|Eddie Rouse,Paul Weitz,During his twenties a young man works at various homeless shelters in Boston where he often intersects with his brilliant but troubled father.,102,5.3
Kaboom,Thomas Dekker|Haley Bennett|Chris Zylka|Roxane Mesquida|Juno Temple,Gregg Araki,Smith a typical young college student who likes partying and engaging in acts of random sex and debauchery has been having some interesting dreams revolving around two gorgeous women -- and is shocked when he meets the dream girls in real life. Lorelei looks just like his fantasy brunette while a mysterious red-haired girl being chased by assassins draws him into an international conspiracy. Or is it all just a drug-induced hallucination?,86,5.3
Peace Love & Misunderstanding,Jane Fonda|Catherine Keener|Elizabeth Olsen|Chace Crawford|Jeffrey Dean Morgan,Bruce Beresford,A conservative lawyer named Diane takes her two teenage children Jake and Zoe to meet their estranged hippie grandmother in Woodstock after her husband asks for a divorce.,96,5.4
Jack Goes Boating,Philip Seymour Hoffman|Lola Glaudini|Amy Ryan|John Ortiz|Richard Petrocelli,Philip Seymour Hoffman,A limo driver's blind date sparks a tale of love betrayal friendship and grace centered around two working-class New York City couples.,89,6
Oorlogswinter,Martijn Lakemeier|Melody Klaver|Yorick van Wageningen|Jamie Campbell Bower|Raymond Thiry,Martin Koolhoven,During World War II in the freezing Netherlands winter of 1944/1945 the western Netherlands are in the grip of a famine.  Many people move east to provide for their families. Fourteen year old Michiel can't wait to join the Dutch resistance to the dismay of his father who as mayor works to prevent escalations in the village.,103,6.8
Things to Do in Denver When You're Dead,Andy GarcÌÄå_a|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams,Gary Fleder,A mafia film in Tarantino style with a star-studded cast. JimmyÌ¢‰âÂ‰ã¢s Ì¢‰âÂÒThe SaintÌ¢‰âÂ gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as Ì¢‰âÂÒThe Man with the Plan.Ì¢‰âÂ,116,6.3
Proof,Hugo Weaving|Russell Crowe|GeneviÌÄå¬ve Picot|Heather Mitchell|Jeffrey Walker,Jocelyn Moorhouse,The life of a blind photographer who is looked after by a housekeeper is disrupted by the arrival of an agreeable restaurant worker.,86,5.5
Dom Hemingway,Jude Law|DemiÌÄåÁn Bichir|Richard E. Grant|Matthew C. Martino|Emilia Clarke,Richard Shepard,After spending 12 years in prison for keeping his mouth shut notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.,93,5.9
The Reluctant Fundamentalist,Riz Ahmed|Kate Hudson|Kiefer Sutherland|Liev Schreiber|Nelsan Ellis,Mira Nair,In New York a Pakistani native finds that his American Dream has collapsed in the wake of the 9/11 terrorist attacks.,130,6.6
A Guide To Recognizing Your Saints,Shia LaBeouf|Channing Tatum|Robert Downey Jr.|Rosario Dawson|Melonie Diaz,Dito Montiel,Dito Montiel a successful author receives a call from his long-suffering mother asking him to return home and visit his ailing father. Dito recalls his childhood growing up in a violent neighborhood in Queens N.Y. with friends Antonio Giuseppe Nerf and Mike.,104,6.7
Mishima: A Life in Four Chapters,Ken Ogata|GÌÄå« RijÌÄåÈ|Masato Aizawa|Masayuki Shionoya|Hiroshi Mikami,Paul Schrader,A fictional account of the life of Japanese author Yukio Mishima told in four parts. The first three parts relate events in three of his novels: The temple of the Golden Pavilion Kyoko's House and Ranaway Horses. The last part depicts the events of 25th November 1970.,121,6.3
Cube,Nicole de Boer|Nicky Guadagni|David Hewlett|Andrew Miller|Julian Richings,Vincenzo Natali,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,90,6.7
Echelon Conspiracy,Shane West|Edward Burns|Ving Rhames|Martin Sheen|Steven Elder,Greg Marcks,Mysterious cell phone messages promise a young American engineer untold wealth - then make him the target of a deadly international plot. Dangerous security operatives chase the engineer across the globe while a powerful government official pursues a mysterious agenda that threatens the stability of the entire world.,105,5.4
If....,Malcolm McDowell|Richard Warwick|David Wood|Christine Noonan|Rupert Webster,Lindsay Anderson,In this allegorical story a revolution lead by pupil Mick Travis takes place at an old established private school in England.,111,6
The Ward,Lyndsy Fonseca|Amber Heard|Danielle Panabaker|Jared Harris|Mamie Gummer,John Carpenter,A thriller centered on an institutionalized young woman who becomes terrorized by a ghost.,88,5.9
Idiocracy,Luke Wilson|Maya Rudolph|Dax Shepard|Terry Crews|Anthony 'Citric' Campos,Mike Judge,To test its top-secret Human Hibernation Project the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive they find a civilization so dumbed-down that they're the smartest people around.,84,6.1
Steve Jobs: The Man in the Machine,Bob Belleville|Chrisann Brennan|Nolan Bushnell|Jason Chen|Nick Denton,Alex Gibney,When Steve Jobs died the world wept. But what accounted for the grief of millions of people who didnÌ¢‰âÂ‰ã¢t know him? This evocative film navigates Jobs' path from a small house in the suburbs to zen temples in Japan to the CEO's office of the world's richest company exploring how JobsÌ¢‰âÂ‰ã¢ life and work shaped our relationship with the computer. The Man in the Machine is a provocative and sometimes startling re-evaluation of the legacy of an icon.,129,6.2
Tape,Uma Thurman|Ethan Hawke|Robert Sean Leonard,Richard Linklater,A three-character ensemble piece set within the confines of a tawdry motor lodge in Lansing Michigan. After 10 years apart three disparate people come together to play out the unresolved drama of their final days in high school. Intrigued we watch as layers of denial are slowly peeled away. Suspense builds as each character is provoked into revealing his or her true nature and motivation. Mesmerized we are drawn into their lives as they choose which cards to play and which cards to hold.,86,6.6
Paranoid Park,Gabe Nevins|Taylor Momsen|Jake Miller|Daniel Liu|Lauren McKinney,Gus Van Sant,The teenager and skateboarder Alex is interviewed by Detective Richard Lu that is investigating the death of a security guard in the rail yards severed by a train who was apparently hit by a skate board. While dealing with the separation process of his parents and the sexual heat of his virgin girlfriend Jennifer Alex writes his last experiences in Paranoid Park with his new acquaintances and how the guard was killed trying to relieve his feeling of guilty from his conscience.,85,6.4
Bully,Brad Renfro|Bijou Phillips|Nick Stahl|Rachel Miner|Michael Pitt,Larry Clark,After finding himself at the constant abuse of his best friend Bobby Marty has become fed up with his friend's twisted ways. His girlfriend a victim of Bobby's often cruel ways couldn't agree more and they strategize murdering Bobby.,113,6.3
DOA: Dead or Alive,Jaime Pressly|Devon Aoki|Holly Valance|Sarah Carter|Natassia Malthe,Corey Yuen Kwai,Four beautiful rivals at an invitation-only martial-arts tournament join forces against a sinister threat. Princess Kasumi (Devon Aoki) is an aristocratic warrior trained by martial-arts masters. Tina Armstrong (Jaime Pressly) is a wrestling superstar. Helena Douglas (Sarah Carter) is an athlete with a tragic past. Christie Allen (Holly Valance) earns her keep as a thief and an assassin-for-hire.,87,4.9
Weekend,Tom Cullen|Chris New|Jonathan Race|Laura Freeman|Loreto Murray,Andrew Haigh,After a drunken house party with his straight mates Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else something special.,96,7.4
On the Job,Piolo Pascual|Gerald Anderson|Angel Aquino|Shaina Magdayao|Michael De Mesa,Erik Matti,On The Job is about the ambitions and passions of four men trying to make a living for themselves and their families. It shows the parallels between two prison inmates who are contract killers and the two agents of the law investigating the murders. As they get caught in a web of machination of corrupt government officials their jobs lead them on a head-on collision against each other with their loved ones as collateral damage.,120,5.9
Men Women & Children,Rosemarie DeWitt|Jennifer Garner|Judy Greer|Dean Norris|Adam Sandler,Jason Reitman,Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships their communication their self-image and their love lives.,116,6.4
Foolproof,Ryan Reynolds|Kristin Booth|Joris Jarsky|David Suchet|Sean Sullivan,William Phillips,Kevin Sam and Rob have an unusual hobby: planning foolproof heists without intending to actually perform them. The game goes wrong when their latest plan is stolen and carried out. Things get even worse when a mysterious man approaches them with an offer: plan a heist for him or go to jail. As the clock ticks they find that the risk might be higher than just their freedom.,97,6.4
The Congress,Robin Wright|Paul Giamatti|Harvey Keitel|Kodi Smit-McPhee|Danny Huston,Ari Folman,An aging out-of-work actress accepts one last job though the consequences of her decision affect her in ways she didn't consider.,122,6.2
The Extra Man,Kevin Kline|Paul Dano|Katie Holmes|John C. Reilly|Dan Hedaya,Shari Springer Berman|Robert Pulcini,THE EXTRA MAN is a sophisticated and moving comedy from filmmakers Shari Springer Berman and Robert Pulcini. THE EXTRA MAN follows Louis Ives (Paul Dano) a lonely dreamer who fancies himself the hero of an F. Scott Fitzgerald novel. When a deeply embarrassing incident forces him to leave his job at an exclusive Princeton prep school Louis heads to New York City to make a fresh start. He quickly finds a 9 to 5 job at an environmental magazine where he encounters an entrancing green-obsessed co-worker Mary (Katie Holmes).,108,5.9
